GO Highest Offense Desc,GO Location Zip
BURGLARY OF VEHICLE           ,78704
THEFT OF LICENSE PLATE        ,78704
BURGLARY OF VEHICLE           ,78704
THEFT OF BICYCLE              ,78704
AGG ASLT STRANGLE/SUFFOCATE   ,78758
THEFT OF LICENSE PLATE        ,78745
THEFT                         ,78701
THEFT                         ,78745
BURGLARY OF VEHICLE           ,78753
THEFT FROM AUTO               ,78753
THEFT                         ,78753
BURGLARY OF RESIDENCE         ,78704
BURGLARY OF VEHICLE           ,78748
BURGLARY OF RESIDENCE         ,78753
AUTO THEFT                    ,78704
AGG ASLT STRANGLE/SUFFOCATE   ,78745
THEFT                         ,78751
BURGLARY OF RESIDENCE         ,78753
BURGLARY OF VEHICLE           ,78753
BURGLARY OF VEHICLE           ,78753
THEFT OF BICYCLE              ,78753
AGG ASLT STRANGLE/SUFFOCATE   ,78753
THEFT FROM AUTO               ,78753
AUTO THEFT                    ,78753
BURGLARY OF RESIDENCE         ,78753
THEFT                         ,78753
AGG ASSAULT                   ,78753
BURGLARY OF RESIDENCE         ,78745
BURGLARY OF RESIDENCE         ,78758
THEFT OF BICYCLE              ,78704
THEFT OF BICYCLE              ,78704
THEFT OF BICYCLE              ,78704
THEFT FROM AUTO               ,78704
THEFT OF BICYCLE              ,78704
THEFT OF BICYCLE              ,78704
THEFT                         ,78704
THEFT OF BICYCLE              ,78704
THEFT OF LICENSE PLATE        ,78704
AUTO THEFT                    ,78704
AUTO THEFT                    ,78704
AUTO THEFT                    ,78704
AUTO THEFT                    ,78757
THEFT OF BICYCLE              ,78748
THEFT FROM BUILDING           ,78702
BURGLARY OF RESIDENCE         ,78745
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF VEHICLE           ,78702
THEFT OF METAL                ,78702
AUTO THEFT                    ,78746
THEFT                         ,78758
AUTO THEFT                    ,78723
AGG ASLT STRANGLE/SUFFOCATE   ,78723
BURGLARY NON RESIDENCE        ,78705
THEFT                         ,78753
THEFT OF LICENSE PLATE        ,78757
AGG ASLT STRANGLE/SUFFOCATE   ,78758
BURGLARY OF RESIDENCE         ,78758
THEFT                         ,78758
BURGLARY OF VEHICLE           ,78753
THEFT                         ,78702
THEFT                         ,78751
THEFT                         ,78751
BURGLARY OF VEHICLE           ,78704
BURGLARY OF VEHICLE           ,78704
BURGLARY OF VEHICLE           ,78704
THEFT FROM BUILDING           ,78703
THEFT OF AUTO PARTS           ,78753
AUTO THEFT                    ,78753
AUTO THEFT                    ,78702
AUTO THEFT                    ,78758
BURGLARY OF VEHICLE           ,78757
BURGLARY OF VEHICLE           ,78705
THEFT                         ,78705
THEFT OF BICYCLE              ,78705
THEFT OF BICYCLE              ,78705
BURGLARY OF VEHICLE           ,78705
BURGLARY NON RESIDENCE        ,78705
THEFT OF BICYCLE              ,78705
THEFT OF BICYCLE              ,78705
AUTO THEFT                    ,78705
AUTO THEFT                    ,78705
THEFT OF BICYCLE              ,78705
THEFT                         ,78748
THEFT                         ,78748
BURGLARY OF VEHICLE           ,78748
THEFT                         ,78748
THEFT                         ,78748
AGG ASSAULT FAM/DATE VIOLENCE ,78748
THEFT FROM BUILDING           ,78748
ROBBERY BY ASSAULT            ,
BURGLARY OF VEHICLE           ,78701
AUTO THEFT                    ,78701
AGG ASSAULT FAM/DATE VIOLENCE ,78745
DEADLY CONDUCT                ,78701
THEFT                         ,78702
BURGLARY OF VEHICLE           ,78702
THEFT BY SHOPLIFTING          ,78701
BURGLARY OF VEHICLE           ,78701
THEFT                         ,78701
THEFT FROM BUILDING           ,78701
BURGLARY OF VEHICLE           ,78704
BURGLARY NON RESIDENCE        ,78753
THEFT                         ,78753
THEFT BY SHOPLIFTING          ,78751
AGG ASSAULT ON PUBLIC SERVANT ,78701
BURGLARY OF VEHICLE           ,78701
AGG ROBBERY/DEADLY WEAPON     ,78701
THEFT OF BICYCLE              ,78701
THEFT                         ,78701
THEFT BY SHOPLIFTING          ,78701
BURGLARY OF VEHICLE           ,78752
BURGLARY OF VEHICLE           ,78753
BURGLARY OF RESIDENCE         ,78752
THEFT FROM BUILDING           ,78753
